"Pauli Term (q2,q0)",3Q Basis Context,Fitted A,Std Err A,Fitted p,Std Err p,Fit Error Msg
IX,XXX,0.980129,0.006949,0.982626,0.000420,
IX,XYX,0.992757,0.009935,0.981483,0.000614,
IX,XZX,0.988984,0.001988,0.996035,0.000076,
IX,YXX,0.978583,0.006728,0.987100,0.000353,
IX,YYX,0.984055,0.006012,0.986938,0.000315,
IX,YZX,0.980178,0.009390,0.986136,0.000507,
IX,ZXX,0.977424,0.005429,0.986278,0.000293,
IX,ZYX,0.982572,0.006865,0.985871,0.000373,
IX,ZZX,0.999189,0.004381,0.995077,0.000172,
IY,XXY,0.989198,0.009425,0.983253,0.000553,
IY,XYY,0.996761,0.007313,0.983162,0.000427,
IY,XZY,0.992738,0.002433,0.995516,0.000094,
IY,YXY,0.986816,0.004858,0.982205,0.000295,
IY,YYY,0.981418,0.005982,0.984385,0.000341,
IY,YZY,0.981973,0.014091,0.982214,0.000861,
IY,ZXY,1.008564,0.006536,0.993724,0.000266,
IY,ZYY,0.981981,0.010057,0.984797,0.000566,
IY,ZZY,0.999858,0.005033,0.994592,0.000200,
IZ,XXZ,0.990819,0.003973,0.995321,0.000156,
IZ,XYZ,0.988363,0.005479,0.986916,0.000286,
IZ,XZZ,0.992531,0.002773,0.995158,0.000109,
IZ,YXZ,0.978906,0.003405,0.986972,0.000179,
IZ,YYZ,0.986939,0.004757,0.986162,0.000255,
IZ,YZZ,0.979319,0.005853,0.985502,0.000323,
IZ,ZXZ,0.990912,0.001822,0.996022,0.000070,
IZ,ZYZ,0.990759,0.008598,0.981979,0.000524,
IZ,ZZZ,0.988468,0.002063,0.996020,0.000079,
XI,XXX,0.989598,0.002603,0.994620,0.000105,
XI,XXY,0.994845,0.006657,0.994152,0.000270,
XI,XXZ,1.000326,0.008590,0.993304,0.000357,
XI,XYX,0.984799,0.009446,0.982704,0.000567,
XI,XYY,0.989800,0.005785,0.984446,0.000327,
XI,XYZ,0.995991,0.007744,0.985948,0.000414,
XI,XZX,0.978544,0.005164,0.984289,0.000297,
XI,XZY,0.980135,0.005982,0.987143,0.000313,
XI,XZZ,0.989932,0.014138,0.986058,0.000758,
XX,XXX,0.971526,0.004476,0.982615,0.000273,
XX,XYX,0.965335,0.007244,0.976946,0.000525,
XX,XZX,0.971596,0.003554,0.984392,0.000205,
XY,XXY,0.983890,0.011789,0.983128,0.000698,
XY,XYY,0.985797,0.009951,0.977943,0.000687,
XY,XZY,0.972528,0.004766,0.986871,0.000253,
XZ,XXZ,0.989696,0.011103,0.988564,0.000548,
XZ,XYZ,0.983692,0.007622,0.981658,0.000473,
XZ,XZZ,0.978803,0.007932,0.986260,0.000427,
YI,YXX,0.989224,0.006749,0.987023,0.000351,
YI,YXY,0.981652,0.003748,0.983444,0.000220,
YI,YXZ,0.980607,0.003524,0.987694,0.000181,
YI,YYX,0.991791,0.005059,0.993999,0.000207,
YI,YYY,0.990721,0.001773,0.994180,0.000072,
YI,YYZ,0.991074,0.001799,0.994320,0.000073,
YI,YZX,0.980588,0.010681,0.987441,0.000552,
YI,YZY,0.990018,0.006274,0.981580,0.000388,
YI,YZZ,0.984292,0.012621,0.987036,0.000659,
YX,YXX,0.977975,0.004823,0.981469,0.000303,
YX,YYX,0.979509,0.010673,0.987055,0.000560,
YX,YZX,0.968588,0.008437,0.981196,0.000539,
YY,YXY,0.978719,0.010345,0.975986,0.000759,
YY,YYY,0.974911,0.005015,0.983909,0.000293,
YY,YZY,0.988377,0.013155,0.973422,0.001023,
YZ,YXZ,0.979549,0.006104,0.981901,0.000377,
YZ,YYZ,0.978692,0.006196,0.986074,0.000336,
YZ,YZZ,0.973997,0.004410,0.980435,0.000287,
ZI,ZXX,0.987129,0.003226,0.994372,0.000131,
ZI,ZXY,0.992737,0.003240,0.994319,0.000131,
ZI,ZXZ,0.995982,0.005637,0.993514,0.000234,
ZI,ZYX,0.982596,0.003225,0.986674,0.000171,
ZI,ZYY,0.977239,0.009734,0.987621,0.000502,
ZI,ZYZ,0.979639,0.009901,0.984318,0.000567,
ZI,ZZX,0.984880,0.001658,0.988772,0.000082,
ZI,ZZY,0.997091,0.013761,0.984158,0.000779,
ZI,ZZZ,0.984723,0.010122,0.982470,0.000612,
ZX,ZXX,0.974568,0.005601,0.985907,0.000307,
ZX,ZYX,0.971883,0.004351,0.981603,0.000274,
ZX,ZZX,0.980265,0.006439,0.988336,0.000323,
ZY,ZXY,0.998666,0.008466,0.988384,0.000417,
ZY,ZYY,0.959325,0.009403,0.981675,0.000598,
ZY,ZZY,0.981395,0.012877,0.985209,0.000716,
ZZ,ZXZ,0.989055,0.007422,0.989331,0.000357,
ZZ,ZYZ,0.981912,0.006918,0.975845,0.000508,
ZZ,ZZZ,0.974289,0.008099,0.982770,0.000490,
